ZIP,UNITS,_ - community_area,_ - community_area_number,_ - property_type,_ - property_name,_ - address,_ - phone_number,_ - management_company,_ - x_coordinate,_ - y_coordinate,_ - latitude,_ - longitude,_ - :@computed_region_awaf_s7ux,_ - :@computed_region_43wa_7qmu,_ - :@computed_region_vrxf_vc4k,_ - :@computed_region_6mkv_f3dw,_ - :@computed_region_bdys_3d7i,_ - location - latitude,_ - location - longitude,_ - location - human_address
60622,23,West Town,24,Multifamily,Borinquen Bella Apts.,"1414,1451 N. Washtenaw Ave.",773-276-5338,LUCHA,1158113.714,1909378.978,41.90708504,-87.69461792,10,41,25,21560,288,41.9070850396306,-87.6946179241723,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60659,2,West Ridge,2,ARO,"5822 North Western, LLC",5822 N. Western Ave.,773-572-2755,Chicago Apartment Finders,1159227.225,1938700.509,41.98752226,-87.68971871,46,24,20,4450,15,41.9875222634019,-87.6897187054826,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,30,West Town,24,Multifamily,North and Talman Family Apts.,2654 W. North Ave.,773-486-7410,Hispanic Housing Dev. Corp.,1158184.401,1910570.961,41.91035449,-87.69432564,24,41,25,22535,299,41.9103544922391,-87.6943256396865,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60625,2,Lincoln Square,4,ARO,The Westner,4618 N. Western Ave.,773-975-7234,Kass Management,1159495.407,1930676.176,41.96549759,-87.68895433,13,18,6,21849,666,41.9654975931691,-87.6889543312091,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60615,27,Hyde Park,41,ARO,Vue53,1330 E. 53rd St.,773-355-4972,Peak Campus,1185905.32,1870431.452,41.79959787,-87.59376104,1,10,8,21192,499,41.7995978693895,-87.5937610368807,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60637,6,Woodlawn,42,Multifamily,65th Street Apts.,817 E. 64th St.,773-684-2056,"Urban Property Advisors, LLC",1182886.226,1862714.794,41.77849343,-87.60507242,53,4,9,22260,347,41.7784934339328,-87.6050724236176,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60630,97,Albany Park,14,Senior,Mayfair Commons,4444 W. Lawrence Ave.,773-205-7862,"Metroplex, Inc.",1145674.754,1931569.979,41.96822423,-87.73974749,28,38,14,21869,751,41.9682242320605,-87.7397474865535,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,41,Uptown,3,Multifamily,Malden Arms Apts.,4727 N. Malden St.,773-334-2164,Mercy Housing,1166646.838,1931640.345,41.96799271,-87.66263241,37,39,31,22616,611,41.967992712996,-87.662632408711,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60625,2,Lincoln Square,4,ARO,2247 W. Lawrence Ave.,2247 W. Lawrence Ave.,312-266-1515,CA Urban Living,1160316.674,1931793.44,41.96854643,-87.68590367,13,18,6,21849,665,41.9685464338003,-87.6859036700814,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60653,24,Washington Park,40,Multifamily,St. Edmund's Manor,5947 S. Indiana Ave.,773-548-8924,St. Edmund's Manor Ltd.,1178662.056,1865432.916,41.78604936,-87.62047574,53,4,7,22260,164,41.786049356749,-87.6204757368767,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60636,71,West Englewood,67,Multifamily,Clara Temple Hampton Residence,1656 W. 63rd St.,773-778-2884,West Englewood Dev. Org.,1166121.345,1862956.686,41.77953039,-87.66652651,44,3,65,22257,276,41.7795303859505,-87.6665265091554,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,1,Lower West Side,31,ARO,Blue Island,1907 S. Blue Island Ave.,844-783-6887,Ventus Holdings LLC,1166927.96,1890745.516,41.85576873,-87.66277433,8,26,33,14920,365,41.8557687250324,-87.6627743294071,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60639,86,Belmont Cragin,19,Senior,Senior Suites of Belmont-Cragin,6045 W. Grand Ave.,773-237-1333,Senior Lifestyle Corp.,1135526.174,1914216.383,41.92079101,-87.77747755,52,44,19,22615,77,41.9207910104657,-87.7774775507649,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,48,North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,773-638-0386,Dickson Estates Apartments,1156574.009,1894894.51,41.86736961,-87.70066623,11,23,30,21184,35,41.8673696100651,-87.7006662254259,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60607,6,Near West Side,28,ARO,171 N. Aberdeen St.,171 N. Aberdeen St.,312-371-4527,Aberdeen East,1169147.739,1901468.29,41.88514499,-87.65431537,41,46,29,14917,63,41.8851449893521,-87.6543153671727,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,6,Humboldt Park,23,Multifamily,Tierra Linda Apts.,1649-51 N. Drake Ave.,773-276-5338,LUCHA,1152601.045,1910933.782,41.91146242,-87.71482723,10,49,24,22535,352,41.9114624187205,-87.7148272291204,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60657,7,Lake View,6,ARO,The Medallion,3121 N. Broadway,"224-470-6824, ext. 2",Cagan Management Group,1167546.298,1934240.17,41.97510735,-87.65924996,40,16,31,22616,634,41.975107346793216,-87.65924996027928,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60623,11,North Lawndale,29,Multifamily,Renaissance Place Apts.,3128 W. Douglas Blvd.,773-762-3389,Lawndale Christian Residential Svcs.,1155600.26,1893326.92,41.86308761,-87.70428319,36,14,30,21569,132,41.8630876114313,-87.7042831894435,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,115,Near West Side,28,Multifamily,Jackson Square West End,2425 W. Adams St.,312-492-6645,East Lake Management Co.,1160165.746,1898949.65,41.8784239,-87.68736835,48,46,29,21184,785,41.8784239004305,-87.6873683542788,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60613,13,Uptown,3,Senior,Wilson Yard Senior Apts.,1032 W. Montrose Ave,866-227-0438,Holsten Real Estate Dev. Corp.,1168438.959,1929421.65,41.96186585,-87.65610743,37,39,31,22616,241,41.9618658532981,-87.656107428372,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,72,Lower West Side,31,Multifamily,Casa Chiapas,1712 W. 17th St.,312-666-1323,The Resurrection Project,1165119.373,1891824.739,41.85876878,-87.66938208,8,26,33,14920,343,41.8587687803028,-87.6693820787239,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60628,10,Roseland,49,Inter-generational,Roseland Village Grand-Family Apts.,63 E. 104th St.,773-468-1901,Mercy Housing,1178767.713,1835996.433,41.70526978,-87.62098184,30,43,45,21861,236,41.7052697846438,-87.6209818376544,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60622,2,West Town,24,ARO,1038 N. Ashland,1038-40 N. Ashland Ave.,312-600-4501,Honore Properties,1165493.322,1907177.772,41.90089079,-87.66757227,24,41,25,21560,518,41.9008907948967,-87.6675722718045,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,62,Near West Side,28,Senior,McCrory Senior Apts.,1637-59 W. Washington Blvd.,312-243-3333,Leasing & Management Co. Inc.,1165323.057,1900716.695,41.88316474,-87.66838158,41,46,29,21184,90,41.8831647382271,-87.6683815808488,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,10,Uptown,3,Women's Supportive,Sarah's House,4836 N. Sheridan Road,773-751-7475,Sarah's Circle,1168716.801,1932469.91,41.97022435,-87.6549972,37,39,31,22616,634,41.970224345725285,-87.6549971996707,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60634,2,Portage Park,15,ARO,4015 Narragansett LLC,4015-23 N. Narragansett Ave.,847-653-6922,Zidan Management Group,1133012.825,1926100.104,41.95344562,-87.78643375,25,19,15,22254,131,41.9534456208497,-87.7864337467324,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60613,8,Lake View,6,ARO,Wrigleyville Lofts,949 W. Dakin St.,312-985-0121,Draper and Kramer,1169013.814,1926369.564,41.95347834,-87.65408289,38,39,57,21186,83,41.95347833510141,-87.65408288861626,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,17,North Lawndale,29,Multifamily,Park Doulglas,1345 S. Fairfield Ave.,773-893-4800,Interstate Realty Management Co.,1158291.047,1893459.955,41.86339815,-87.69440189,11,23,30,14920,16,41.8633981467105,-87.6944018944973,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,18,Uptown,3,Multifamily,Uptown Preservation Apts.,927 W. Wilson Ave.,773-286-5400,Leasing & Management Co. Inc.,1169143.773,1930693.074,41.96533937,-87.65347906,37,39,31,22616,20,41.9653393681499,-87.6534790570047,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,2,Uptown,3,ARO,Saxony Wilson,1630 W. Wilson Ave.,312-243-5353,Malet Realty,1164465.118,1930651.529,41.96532595,-87.67068252,13,18,31,22616,559,41.9653259479463,-87.6706825225852,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60643,82,Washington Heights,73,Senior,Senior Suites of Washington Heights,848 W. 103rd St.,773-233-1333,Senior Lifestyle Corp.,1172263.727,1836577.477,41.70700943,-87.64478166,45,22,72,22212,594,41.7070094273739,-87.6447816603137,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60623,29,South Lawndale,30,Multifamily,Casa Sor Juana,2700 S. Drake Ave.,312-850-1935,The Resurrection Project,1153098.302,1885797.728,41.84247656,-87.71366715,14,28,32,21569,312,41.8424765579916,-87.7136671490412,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60609,115,New City,61,Multifamily,Senior Suites of New City,4845 S. Western Blvd.,773-523-9333,Senior Lifestyle Co.,1161385.374,1872314.959,41.80531018,-87.68362994,29,3,59,14924,788,41.8053101772522,-87.6836299381718,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,1,North Lawndale,29,Multifamily,Park Douglas,1260 S. Fairfield Ave.,773-893-4800,Interstate Realty Management Co.,1158196.48,1893944.253,41.86472904,-87.69473582,11,23,30,14920,16,41.8647290397995,-87.6947358194861,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,12,Humboldt Park,23,Multifamily,Harold Washington Unity Coop,3120-38 W. Ohio St.,773-227-6332,Bickerdike Apts.,1155336.105,1903869.285,41.89202224,-87.70496955,41,46,24,21184,177,41.89202224051242,-87.70496954716313,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60615,10,Hyde Park,41,ARO,5432-44 S. Woodlawn,5432 S. Woodlawn Ave.,312-480-0933,Bickerdike Apts.,1185102.561,1869464.413,41.79696316,-87.59673531,1,33,8,21192,441,41.7969631559439,-87.5967353132738,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60622,6,West Town,24,ARO,Centrum Wicker Park,1664 W. Division St.,312-330-3210,Centrum Partners,1164833.069,1908092.562,41.90341508,-87.66997144,24,41,25,21560,481,41.9034150774464,-87.6699714414076,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,8,Uptown,3,ARO,Solverre,4600 N. Marine Dr.,312-601-4600,Willow Bridge,1170420.321,1930790.322,41.96557833,-87.64878266,,,,,,,,
60613,1,Lake View,6,ARO,927 W. Irving,927 W. Irving Park Rd.,773-665-0103,DLG Management,1169246.126,1926706.623,41.95439818,-87.65321906,37,39,57,21186,83,41.9543981834222,-87.6532190636427,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60621,102,Englewood,68,Senior,Montclare JoAnn Thompson Senior Residences,6332 S Green St.,312-267-4850,Pacific Management Inc.,1171685.363,1862689.261,41.77867633,-87.64613601,19,2,66,21559,436,41.77867633250194,-87.64613601414938,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60641,110,Belmont Cragin,19,Senior,Belmont Place Apts.,4645 W. Belmont Ave.,773-427-1400,Perlmark Realty Management,1144792.615,1920829.074,41.938767,-87.74326301,,,,,,41.93876700406477,87.7432630148762,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,50,Humboldt Park,23,Supportive/Veterans,Hope Manor Apts.,3053 W. Franklin Blvd.,773-475-6703,Volunteers of America Illinois,1155690.801,1903132.153,41.88999235,-87.70368677,41,46,24,21184,177,41.8899923467274,-87.7036867658502,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60637,67,Woodlawn,42,Multifamily,Dorchester Apts.,1410 E. 62nd St.,773-572-5500,The Thresholds,1186722.404,1864209.572,41.78250522,-87.59096164,53,4,9,22260,469,41.782505219358,-87.5909616432556,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,7,Uptown,3,ARO,Upshore Chapter,4555 N. Sheridan Road,312-229-6446,33 Realty,1168829.31,1930666.235,41.96527256,-87.65463604,37,39,31,22616,20,41.965272561138,-87.6546360379986,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60613,170,North Lawndale,29,Multifamily,Lawndale Restoration II Apts. (scattered sites),10 N. Hamlin Ave.,312-337-5339,Holsten Management Corp.,1151024.342,1899855.056,41.88109233,-87.72091009,11,23,27,21572,658,41.8810923305496,-87.7209100899284,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,83,Uptown,3,Multifamily,Sunnyside Kenmore Apts.,847-49 W. Sunnyside Ave.,773-769-3116,"Metroplex, Inc.",1169606.678,1930039.336,41.9635354,-87.65179619,37,39,31,22616,20,41.9635353994208,-87.651796190778,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60639,17,Belmont Cragin,19,Senior,Crystal Courts/Anixter Center,5038 W. Armitage Ave.,773-385-9080,Lester and Rosalie Anixter Center,1142340.781,1912865.659,41.91696054,-87.75247249,7,44,19,22615,306,41.9169605419799,-87.7524724893612,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60633,116,Hegewisch,55,Senior,Senior Suites of Hegewisch,13550 S. Avenue O,773-646-1333,Senior Lifestyle Corp.,1201038.059,1815487.733,41.64845741,-87.54012317,47,47,52,22250,787,41.648457411436,-87.5401231660406,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60625,3,Lincoln Square,4,ARO,The Convent,4927 N. Claremont Ave.,773.665.0103,DLG Management,1159838.051,1932783.705,41.97127368,-87.6876361,13,24,6,21849,54,41.971273678097695,-87.6876361045426,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,6,Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3108 W. Franklin Blvd.,773-227-6332,Bickerdike Apts.,1155507.651,1903207.947,41.89020402,-87.70435734,41,46,24,21184,177,41.8902040169903,-87.7043573374365,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60634,3,Belmont Cragin,19,ARO,2917-39 N. Central,2917-39 N. Central Ave.,847-653-6922,Zitella Development,1138569.742,1918921.633,41.93364805,-87.7661803,7,17,19,22254,303,41.9336480471609,-87.7661803002324,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60628,59,Roseland,49,Senior,Roseland Place Senior Apts.,10426 S. Michigan Ave.,773-468-1901,Mercy Housing,1178843.134,1835756.142,41.70460868,-87.62071293,30,43,45,21861,236,41.70460868112854,-87.6207129341579,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60637,54,Washington Park,40,Multifamily,St. Edmund's Commons,110 E. 60th St.,773-420-3328,St. Edmund's Redevelopment Corp.,1178315.994,1865303.085,41.78570095,-87.6217485,53,4,7,22260,164,41.7857009548336,-87.6217485015409,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60617,29,South Chicago,46,Multifamily,Casa Kirk,3248 E. 92nd St.,773-734-2884,Interfaith Housing Corp.,1198941.103,1844604.277,41.72840878,-87.54682246,47,47,42,21202,510,41.7284087757332,-87.5468224570309,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60616,2,Douglas,35,ARO,Unity Hall,3138-40  S. Indiana Ave.,773-572-0880,Westward 360,1178081.304,1884060.021,41.83717695,-87.62203977,12,9,1,21194,25,41.8371769457261,-87.6220397684404,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,6,Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3500 W. Ohio St.,773-227-6332,Bickerdike Apts.,1152924.343,1903817.949,41.89192949,-87.71382831,41,46,24,21572,584,41.8919294933613,-87.7138283058778,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60620,72,Auburn Gresham,71,Senior,Auburn Commons,1626 W. 87th St.,773-238-0850,"Urban Property Advisors, LLC",1166895.24,1847057.796,41.73588515,-87.66414272,6,13,70,21554,532,41.7358851522607,-87.6641427165593,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60623,26,North Lawndale,29,Multifamily,Lazarus Apartments,1859 S. Pulaski Ave.,773-762-3389,Lawndale Christian Residential Svcs.,1150056.063,1890463.503,41.85533972,-87.72471008,36,14,30,21569,752,41.8553397217037,-87.7247100762886,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60616,170,Near South Side,33,Multifamily,Hilliard Homes Phase I,2030 S. State St.,312-225-7610,Holsten Real Estate Dev. Corp.,1176604.642,1890373.503,41.85453503,-87.62726774,12,9,34,21194,330,41.8545350329649,-87.6272677388027,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,3,Logan Square,22,Multifamily,Zapata Apts.,1955 N. St. Louis Ave.,773-227-6332,Bickerdike Apartments,1152977.196,1913047.516,41.91725524,-87.71338923,15,49,23,22535,387,41.9172552391374,-87.7133892334538,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60622,4,West Town,24,ARO,Luxe on Chicago,1838 W. Chicago Ave.,312-581-9980,Fifield Co.,1163828.869,1905410.003,41.89607519,-87.67373584,24,41,25,21560,462,41.8960751867522,-87.6737358366883,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60620,56,Auburn Gresham,71,Multifamily,Stone Terrace,8440 S. Parnell Ave.,773-651-9234,East Lake Management & Development Corp.,1174067.016,1848682.074,41.74018636,-87.63781991,18,13,70,21554,529,41.7401863579865,-87.6378199127676,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60653,180,Grand Boulevard,38,Multifamily,Paul G. Stewart Phase III Tower,401 E. Bowen Ave.,312-924-2100,Paul G. Stewart Assoc.,1179658.647,1877532.342,41.81922851,-87.61645178,12,9,4,4301,625,41.8192285127139,-87.6164517752946,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,6,Logan Square,22,ARO,1957 N.Fairfield/2701 W. Armitage,1957 N. Fairfiled Ave.,773-772-8500,Wilmot Properties,1157757.47,1913119.953,41.91735785,-87.69582442,24,41,23,22535,180,41.9173578458663,-87.6958244220098,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60618,60,North Center,5,Senior,North Center Senior Apts.,2324 W. Irving Park Road,773-478-8900,"Metroplex, Inc.",1160064.901,1926543.181,41.95414467,-87.68697505,13,18,46,21538,623,41.9541446663226,-87.6869750498606,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60628,60,Roseland,50,Senior,Pullman Suites,15 E. 112th Place,773-840-3993,Triangle & Assoc.,1178428.442,1830343.03,41.68976374,-87.62239508,30,43,45,21861,253,41.6897637422461,-87.6223950848936,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60642,3,West Town,24,ARO,Westerly Apts.,740 N. Aberdeen St.,312-366-2965,Fifield Cos.,1168866.667,1905178.379,41.89533182,-87.65523984,41,46,25,22620,522,41.8953318242,-87.6552398396278,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60653,6,Oakland,36,Multifamily,Lakefront Phase II,4131 S. Lake Park Ave.,773-548-8795,"Urban Property Advisors, LLC",1184098.384,1877540.909,41.81914922,-87.60016504,1,10,2,4301,220,41.8191492210611,-87.6001650372999,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,8,Humboldt Park,23,Multifamily,Harold Washington Unity Coop,636-38 N. Albany Ave.,773-227-6332,Bickerdike Apts.,1155553.014,1904238.945,41.89303226,-87.70416298,41,46,24,21184,177,41.8930322620299,-87.70416297611808,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,22,Uptown,3,ARO,811 Uptown,811 W. Agatite Ave.,773-831-6098,RL Accelerated,1169980.753,1929712.369,41.96263002,-87.65043043,37,39,31,22616,20,41.9626300189614,-87.6504304289638,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60608,3,Lower West Side,31,Multifamily,Casa Colima,1427 W. Cullerton St.,312-666-1323,The Resurrection Project,1167051.022,1890476.213,41.8550271,-87.66233036,8,26,33,14920,365,41.8550270973189,-87.6623303609038,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60637,15,Woodlawn,42,Multifamily,65th Street Apts.,6400 S. Maryland Ave.,773-684-2056,"Urban Property Advisors, LLC",1182961.608,1862758.255,41.77861094,-87.60479472,53,4,9,22260,347,41.7786109443603,-87.6047947202511,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60637,64,Woodlawn,42,Multifamily,Renaissance Apts.,6200 S. University Ave.,773-752-9400,AIMCO,1184799.335,1864093.117,41.782231,-87.59801573,53,4,9,22260,427,41.7822309984892,-87.5980157269828,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60605,276,Near South Side,33,Senior,Senior Suites of Central Station,1400 S. Indiana Ave.,312-913-9333,Senior Lifestyle Corp.,1177842.094,1893842.68,41.86402666,-87.62262043,48,9,34,14913,374,41.864026664933,-87.6226204269935,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60616,151,Near South Side,33,Senior,Hilliard Homes Phase II,30 W. Cermak Road,312-326-1466,Holsten Management Corp.,1176346.441,1889816.861,41.85301339,-87.62823221,12,9,34,21194,330,41.8530133902049,-87.6282322110359,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60653,6,Oakland,36,Multifamily,Lakefront Phase II,1120 E. Bowen Ave.,773-548-8795,"Urban Property Advisors, LLC",1184352.47,1877438.04,41.81886099,-87.59923619,1,10,2,4301,220,41.8188609892833,-87.5992361922266,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60627,258,Riverdale,54,Multifamily,Eden Green Apts.,301 E. 132nd Pl,773-568-7033,Habitat Company,1180750.042,1817671.924,41.65493945,-87.61428283,30,43,51,4460,10,41.65493944937772,-87.61428282625099,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60707,5,Montclare,18,ARO,2931-57 N. Harlem LLC,2931-57 N. Harlem Ave.,872-256-8321,The Brixen,1127615.033,1918797.886,41.93350027,-87.80644193,39,7,18,4454,397,41.9335002731173,-87.8064419298412,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,76,Near West Side,28,Multifamily,City Gardens,320 S. Maplewood Ave.,844-842-2779,Interstate Realty Management Co.,1159392.507,1898418.37,41.87698195,-87.69022214,48,46,29,21184,785,41.8769819545732,-87.6902221443242,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60605,91,Near  South Side,33,Senior,The Park at Central Station,1251 S. Michigan Ave.,855-272-4356,Brookfield Properties,1177467.191,1894587.503,41.86607901,-87.62397407,48,9,34,14913,374,41.86607901435018,-87.62397407028845,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,152,East Garfield Park,27,Supportive Housing,East Park Apts.,3300 W. Maypole Ave.,773-826-3300,The Habitat Co.,1154287.339,1900828.13,41.88369802,-87.7089025,11,23,28,21572,176,41.8836980221101,-87.7089025001699,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60621,36,Englewood,68,Veterans,Hope Manor Village,5900-6100 S. Green/Peoria/Sangamon,312-564-2393,Volunteers of America Illinois,1171608.816,1865691.133,41.78691549,-87.64632871,19,2,66,21559,22,41.786915494505976,-87.64632871262232,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60631,84,Norwood Park,10,Senior,Senior Suites of Norwood Park,5700 N. Harlem Ave.,888-339-2315,Senior Lifestyle,1127328.815,1937441.873,41.98466628,-87.80707301,34,29,36,22243,733,41.9846662832426,-87.8070730078682,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60610,96,Near North Side,8,SRO/Supportive,Schiff Residences,1244 N. Clybourn Ave.,312-867-1442,Mercy Housing Management Group,1172776.621,1908546.231,41.9044877,-87.6407798,41,46,37,14926,309,41.90448770178859,-87.64077980359421,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60647,41,Logan Square,22,Senior,Renaissance West,2517 W. Fullerton Ave.,773-862-2500,Habitat Company,1159142.563,1915828.561,41.9247621,-87.69066098,24,41,23,22535,323,41.9247620984666,-87.6906609776664,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60626,119,Rogers Park,1,Senior,Wayne Senior Housing,6928 N. Wayne Ave.,773-274-0177,CIG Management,1165843.898,1946058.513,42.00757377,-87.66517114,3,5,10,21853,66,42.0075737709331,-87.6651711448293,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60612,143,East Garfield Park,27,Multifamily,Rockwell Gardens Phase IA & IIA,2653 W. Madison St.,312-492-6645,East Lake Management & Development Corp.,1158623.238,1899872.888,41.88098907,-87.69300683,48,46,28,21184,38,41.880989071675494,-87.69300683002724,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60640,16,Uptown,3,ARO,Somerset Place Apts.,5009 N. Sheridan Road,317-596-2168,Zidan Management Group,1168763.559,1933706.921,41.97361773,-87.65478924,40,16,31,22616,635,41.9736177253694,-87.6547892430962,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60657,97,Lake View,6,Senior Supportive Living,Renaissance St. Luke Greenview Place,1501 W. Melrose St.,773-525-1501,"RRG Development, Inc.",1165704.848,1921625.294,41.94053116,-87.66638261,38,25,57,4449,678,41.9405311557355,-87.6663826052792,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60613,4,North Center,5,ARO,The Henry,1819 W. Montrose Ave.,872-206-9635,The FLATS,1163245.359,1929209.633,41.96139512,-87.67520801,13,18,46,21186,622,41.9613951199669,-87.6752080062593,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60624,12,Humboldt Park,23,Multifamily,Rosa Parks Apts.,526 N. St. Louis Ave.,773-227-6332,Bickerdike Apts.,1152910.964,1903460.212,41.8909481,-87.71388693,41,46,24,21572,584,41.8909480951075,-87.7138869272678,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60638,85,Garfield Ridge,56,Senior,Midway Pointe Senior Living,5011 W. 47th St.,872-302-4010,Perlmark Realty Management LLC,1143675.613,1872964.362,41.80744124,-87.74856678,35,28,53,22268,605,41.8074412434739,-87.7485667790425,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60628,40,Roseland,49,Multifamily,Roseland Ridge Apts.,10513 S. Michigan Ave.,773-341-3158,NHS Redevelopment Corp.,1178893.699,1835198.534,41.70307738,-87.62054468,30,43,45,21861,236,41.7030773785091,-87.6205446770862,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
60637,12,Woodlawn,42,Multifamily,Trianon Lofts,803 E. 61st St.,773-955-8668,Preservation Housing Management LLC,1182659.118,1864701.714,41.783951,-87.60584338,53,4,9,22260,470,41.7839509995196,-87.6058433793708,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
